genres_expanded_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,key,level_7,genres_albums
14318,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,0,big room
14319,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,1,brostep
14320,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,2,dance pop
14321,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,3,dutch edm
14322,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,4,edm
14323,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,5,house
14324,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,6,pop
14325,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,7,pop dance
14326,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,8,slap house
14327,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,9,trance
14328,3Z7CaxQkqbIs1rewKi6v4W,spotify:track:3Z7CaxQkqbIs1rewKi6v4W,Hot In It,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,Hot In It:Tiësto,10,tropical house
14329,1xMfoLDuxnwPBGR0uVrRpc,spotify:track:1xMfoLDuxnwPBGR0uVrRpc,Chhaap Tilak,5o36rLQd78Zh8CaT8rn59d,Shreyas Puranik,spotify:artist:5o36rLQd78Zh8CaT8rn59d,Chhaap Tilak:Shreyas Puranik,0,genre not available
14330,4fI6RSIPnwSDhGP0LXtpxG,spotify:track:4fI6RSIPnwSDhGP0LXtpxG,Aftertaste,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,spotify:artist:6t1gpxYbY8OlLA7D2RiikQ,Aftertaste:Loud Luxury,0,dance pop
14331,4fI6RSIPnwSDhGP0LXtpxG,spotify:track:4fI6RSIPnwSDhGP0LXtpxG,Aftertaste,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,spotify:artist:6t1gpxYbY8OlLA7D2RiikQ,Aftertaste:Loud Luxury,1,edm
14332,4fI6RSIPnwSDhGP0LXtpxG,spotify:track:4fI6RSIPnwSDhGP0LXtpxG,Aftertaste,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,spotify:artist:6t1gpxYbY8OlLA7D2RiikQ,Aftertaste:Loud Luxury,2,electro house
14333,4fI6RSIPnwSDhGP0LXtpxG,spotify:track:4fI6RSIPnwSDhGP0LXtpxG,Aftertaste,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,spotify:artist:6t1gpxYbY8OlLA7D2RiikQ,Aftertaste:Loud Luxury,3,pop
14334,4fI6RSIPnwSDhGP0LXtpxG,spotify:track:4fI6RSIPnwSDhGP0LXtpxG,Aftertaste,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,spotify:artist:6t1gpxYbY8OlLA7D2RiikQ,Aftertaste:Loud Luxury,4,pop dance
14335,4fI6RSIPnwSDhGP0LXtpxG,spotify:track:4fI6RSIPnwSDhGP0LXtpxG,Aftertaste,6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,spotify:artist:6t1gpxYbY8OlLA7D2RiikQ,Aftertaste:Loud Luxury,5,tropical house
14336,5Pkn31exSVgFbfDAH961QC,spotify:track:5Pkn31exSVgFbfDAH961QC,In the Woods Somewhere,2FXC3k01G6Gw61bmprjgqS,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,In the Woods Somewhere:Hozier,0,irish singer-songwriter
14337,5Pkn31exSVgFbfDAH961QC,spotify:track:5Pkn31exSVgFbfDAH961QC,In the Woods Somewhere,2FXC3k01G6Gw61bmprjgqS,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,In the Woods Somewhere:Hozier,1,pop
14338,075QYa566prNemChnZDEY1,spotify:track:075QYa566prNemChnZDEY1,Sayonee,6nyfDdTwCLGrbCFikT8PTK,Junoon,spotify:artist:6nyfDdTwCLGrbCFikT8PTK,Sayonee:Junoon,0,classic pakistani pop
14339,075QYa566prNemChnZDEY1,spotify:track:075QYa566prNemChnZDEY1,Sayonee,6nyfDdTwCLGrbCFikT8PTK,Junoon,spotify:artist:6nyfDdTwCLGrbCFikT8PTK,Sayonee:Junoon,1,ghazal
14340,075QYa566prNemChnZDEY1,spotify:track:075QYa566prNemChnZDEY1,Sayonee,6nyfDdTwCLGrbCFikT8PTK,Junoon,spotify:artist:6nyfDdTwCLGrbCFikT8PTK,Sayonee:Junoon,2,pakistani pop
14341,4XQQovRSltOGWevTCgacXY,spotify:track:4XQQovRSltOGWevTCgacXY,Caretaker (feat. SZA),5M0lbkGluOPXLeFjApw8r8,DRAM,spotify:artist:5M0lbkGluOPXLeFjApw8r8,Caretaker (feat. SZA):DRAM,0,alternative r&b
14342,4XQQovRSltOGWevTCgacXY,spotify:track:4XQQovRSltOGWevTCgacXY,Caretaker (feat. SZA),5M0lbkGluOPXLeFjApw8r8,DRAM,spotify:artist:5M0lbkGluOPXLeFjApw8r8,Caretaker (feat. SZA):DRAM,1,rap
14343,4XQQovRSltOGWevTCgacXY,spotify:track:4XQQovRSltOGWevTCgacXY,Caretaker (feat. SZA),5M0lbkGluOPXLeFjApw8r8,DRAM,spotify:artist:5M0lbkGluOPXLeFjApw8r8,Caretaker (feat. SZA):DRAM,2,virginia hip hop
