podcast_id,episode,podcast,key
29,66-Paul Bunyan: Truth in Advertising,Myths and Legends,Myths and Legends66-Paul Bunyan: Truth in Advertising
30,74-Japanese Folklore: Do You Really Want to Live Forever?,Myths and Legends,Myths and Legends74-Japanese Folklore: Do You Really Want to Live Forever?
33,148B-Monkey King: Leaps and Bounds,Myths and Legends,Myths and Legends148B-Monkey King: Leaps and Bounds
35,25-Dragons: This is Where You Get to Make it Right,Myths and Legends,Myths and Legends25-Dragons: This is Where You Get to Make it Right
36,"3A-Vikings: The Norse and the Furious, Bredi’s Drift",Myths and Legends,"Myths and Legends3A-Vikings: The Norse and the Furious, Bredi’s Drift"
37,Santa Snafu,Not Past It ,Not Past It Santa Snafu
38,Don't Forget My Love,Diplo,DiploDon't Forget My Love
39,48-Snow White: Killer Queen,Myths and Legends,Myths and Legends48-Snow White: Killer Queen
42,Beowulf Pt. 1,Mythology,MythologyBeowulf Pt. 1
43,"11-Japanese Fairy Tales: Key Details (Urashima Taro, The Boy Who Drew Cats)",Myths and Legends,"Myths and Legends11-Japanese Fairy Tales: Key Details (Urashima Taro, The Boy Who Drew Cats)"
44,148A-Monkey King: Good Little Monkey,Myths and Legends,Myths and Legends148A-Monkey King: Good Little Monkey
45,94-Norse Legends: A Very Viking Christmas,Myths and Legends,Myths and Legends94-Norse Legends: A Very Viking Christmas
46,Introducing 'Modern Love: The Podcast',Modern Love,Modern LoveIntroducing 'Modern Love: The Podcast'
47,Mom/Not Mom/Aunt | With Jesse Tyler Ferguson,Modern Love,Modern LoveMom/Not Mom/Aunt | With Jesse Tyler Ferguson
49,120B-Holy Grail: Beyond the Sea,Myths and Legends,Myths and Legends120B-Holy Grail: Beyond the Sea
50,72-Kelpie: Party Horse,Myths and Legends,Myths and Legends72-Kelpie: Party Horse
51,A Heart Outrun | With Colin Farrell,Modern Love,Modern LoveA Heart Outrun | With Colin Farrell
52,81-Trolls: Breakups,Myths and Legends,Myths and Legends81-Trolls: Breakups
53,104-Egyptian Mythology: The First Avenger,Myths and Legends,Myths and Legends104-Egyptian Mythology: The First Avenger
54,"Monday, June 6th, 2022",Libra Today,"Libra TodayMonday, June 6th, 2022"
55,155-Fairy Tales: The Pearl,Myths and Legends,Myths and Legends155-Fairy Tales: The Pearl
56,3: 5 Ways to Practice Self-Compassion,An Audio Guide to Happiness,An Audio Guide to Happiness3: 5 Ways to Practice Self-Compassion
57,134-Grimm: Thirsty,Myths and Legends,Myths and Legends134-Grimm: Thirsty
60,22C-Irish Legends: The Spoils of War,Myths and Legends,Myths and Legends22C-Irish Legends: The Spoils of War
61,21-Frozen/The Snow Queen: Fearful Symmetry,Myths and Legends,Myths and Legends21-Frozen/The Snow Queen: Fearful Symmetry
63,19-Native American Folklore: Skeletons,Myths and Legends,Myths and Legends19-Native American Folklore: Skeletons
64,Fighting Words | With Alysia Reiner,Modern Love,Modern LoveFighting Words | With Alysia Reiner
65,154A-Viking Legends: Family Business,Myths and Legends,Myths and Legends154A-Viking Legends: Family Business
66,163-Hansel and Gretel: Crumble,Myths and Legends,Myths and Legends163-Hansel and Gretel: Crumble
67,ARCHETYPES. Don't believe the type. ,Archetypes,ArchetypesARCHETYPES. Don't believe the type. 
68,181B-Mabinogion: With Friends Like These,Myths and Legends,Myths and Legends181B-Mabinogion: With Friends Like These
69,Listener Mail: Cyclopean Stairs,Stuff To Blow Your Mind,Stuff To Blow Your MindListener Mail: Cyclopean Stairs
70,24-Thor: Whosoever Holds this Hammer,Myths and Legends,Myths and Legends24-Thor: Whosoever Holds this Hammer
71,139B-Irish Legends: Evitable,Myths and Legends,Myths and Legends139B-Irish Legends: Evitable
72,80B-Perseus: I'm Set Free,Myths and Legends,Myths and Legends80B-Perseus: I'm Set Free
75,98-Native American History: Runner in the Night,Myths and Legends,Myths and Legends98-Native American History: Runner in the Night
76,Yokai Legends Season 1 Episode 1: Sea Monsters,Yokai Legends,Yokai LegendsYokai Legends Season 1 Episode 1: Sea Monsters
78,143-Japanese Folktales: Crabby,Myths and Legends,Myths and Legends143-Japanese Folktales: Crabby
79,115-Chinese Folklore: Another Brick in the Wall,Myths and Legends,Myths and Legends115-Chinese Folklore: Another Brick in the Wall
80,50-Dracula: Bad Blood,Myths and Legends,Myths and Legends50-Dracula: Bad Blood
81,149-Japanese Fairy Tales: Son of a Peach,Myths and Legends,Myths and Legends149-Japanese Fairy Tales: Son of a Peach
82,99-William Tell: One Shot,Myths and Legends,Myths and Legends99-William Tell: One Shot
83,Introducing McKinsey Recruiting,McKinsey Recruiting,McKinsey RecruitingIntroducing McKinsey Recruiting
84,76-Greek Myths: Lioness,Myths and Legends,Myths and Legends76-Greek Myths: Lioness
86,Yokai Legends Season 1 Episode 2: Clash of the Titans,Yokai Legends,Yokai LegendsYokai Legends Season 1 Episode 2: Clash of the Titans
87,180-Azorean Folklore: Power,Myths and Legends,Myths and Legends180-Azorean Folklore: Power
88,12-Pig-faced Women: Citation Needed,Myths and Legends,Myths and Legends12-Pig-faced Women: Citation Needed
89,96-Russian Folklore: Cold as Ice,Myths and Legends,Myths and Legends96-Russian Folklore: Cold as Ice
90,57-Japanese Fairy Tales: Faithful,Myths and Legends,Myths and Legends57-Japanese Fairy Tales: Faithful
91,13B-Ragnar Lodbrok: Why’d it have to be Snakes?,Myths and Legends,Myths and Legends13B-Ragnar Lodbrok: Why’d it have to be Snakes?
92,159-Rip Van Winkle: Bad Dad,Myths and Legends,Myths and Legends159-Rip Van Winkle: Bad Dad
93,17A-Theseus: It’s Dangerous to go Alone!,Myths and Legends,Myths and Legends17A-Theseus: It’s Dangerous to go Alone!
96,4-Mulan: A Likely Hero,Myths and Legends,Myths and Legends4-Mulan: A Likely Hero
99,"9-Dogs and Wolves: Generations (Fenrir, The Black Dog, Dog King of Denmark, Gelert)",Myths and Legends,"Myths and Legends9-Dogs and Wolves: Generations (Fenrir, The Black Dog, Dog King of Denmark, Gelert)"
100,164A-Chinese Legends: Here I Go Again,Myths and Legends,Myths and Legends164A-Chinese Legends: Here I Go Again
101,"Thursday, March 24th, 2022",Libra Today,"Libra TodayThursday, March 24th, 2022"
103,Welcome!,An Audio Guide to Happiness,An Audio Guide to HappinessWelcome!
104,One Last Swirl | With Jason Alexander,Modern Love,Modern LoveOne Last Swirl | With Jason Alexander
106,FREE YSL,"Today, Explained","Today, ExplainedFREE YSL"
109,162-47 Ronin: Wanderers,Myths and Legends,Myths and Legends162-47 Ronin: Wanderers
110,nina's story,quotes from movies/tv shows,quotes from movies/tv showsnina's story
112,3E-Vikings: The Debt is Paid,Myths and Legends,Myths and Legends3E-Vikings: The Debt is Paid
114,Magically Interrupted | With Michael Shannon,Modern Love,Modern LoveMagically Interrupted | With Michael Shannon
115,54A-Gilgamesh: Did We Just Become Best Friends?,Myths and Legends,Myths and Legends54A-Gilgamesh: Did We Just Become Best Friends?
119,131A-Greek Mythology: Sudden but Inevitable Betrayal,Myths and Legends,Myths and Legends131A-Greek Mythology: Sudden but Inevitable Betrayal
121,01. Kind of a Night Person,Batman Unburied,Batman Unburied01. Kind of a Night Person
122,I See My Superhero | With Sarah Silverman,Modern Love,Modern LoveI See My Superhero | With Sarah Silverman
124,161-Japanese folklore: Karma,Myths and Legends,Myths and Legends161-Japanese folklore: Karma
125,My First Lesson In Motherhood | With Connie Britton,Modern Love,Modern LoveMy First Lesson In Motherhood | With Connie Britton
126,107A-Golem: Guardian,Myths and Legends,Myths and Legends107A-Golem: Guardian
128,100A-Knights of the Round Table: Buddy System,Myths and Legends,Myths and Legends100A-Knights of the Round Table: Buddy System
130,77-Romanian Folklore: Mrs. Piggy,Myths and Legends,Myths and Legends77-Romanian Folklore: Mrs. Piggy
133,157-Jack the Giant Killer: Giant Problems,Myths and Legends,Myths and Legends157-Jack the Giant Killer: Giant Problems
139,117-Romanian Folklore: What did it Cost?,Myths and Legends,Myths and Legends117-Romanian Folklore: What did it Cost?
140,107B-Golem: To Dust You Shall Return,Myths and Legends,Myths and Legends107B-Golem: To Dust You Shall Return
142,173-Tunisian Folklore: Fortune,Myths and Legends,Myths and Legends173-Tunisian Folklore: Fortune
143,51-Loki: Them Apples,Myths and Legends,Myths and Legends51-Loki: Them Apples
144,This Is Why It's So Hard | Practice True Joy,The Daily Stoic,The Daily StoicThis Is Why It's So Hard | Practice True Joy
145,16-Russian Fairy Tales: She-Who-Must-Not-Be-Named,Myths and Legends,Myths and Legends16-Russian Fairy Tales: She-Who-Must-Not-Be-Named
146,141C-Robin Hood: On Brand,Myths and Legends,Myths and Legends141C-Robin Hood: On Brand
147,Bonus-The Time Machine: Inspector Spacetime,Myths and Legends,Myths and LegendsBonus-The Time Machine: Inspector Spacetime
148,172-Norwegian Folklore: Adventure!,Myths and Legends,Myths and Legends172-Norwegian Folklore: Adventure!
149,30-Latin American Folklore: Unbreakable,Myths and Legends,Myths and Legends30-Latin American Folklore: Unbreakable
150,141A-Robin Hood: Merry,Myths and Legends,Myths and Legends141A-Robin Hood: Merry
153,166-Grimm Brothers: The Dark Forest,Myths and Legends,Myths and Legends166-Grimm Brothers: The Dark Forest
154,Our annual Halloween hysteria,"Today, Explained","Today, ExplainedOur annual Halloween hysteria"
155,142A-Rome: Glory,Myths and Legends,Myths and Legends142A-Rome: Glory
157,43-Slavic Folklore: The Wasteland,Myths and Legends,Myths and Legends43-Slavic Folklore: The Wasteland
159,71A-Sinbad the Sailor: Venture,Myths and Legends,Myths and Legends71A-Sinbad the Sailor: Venture
161,109-Athens: Home,Myths and Legends,Myths and Legends109-Athens: Home
163,56-Nepali Folklore: Hope You Guess My Name,Myths and Legends,Myths and Legends56-Nepali Folklore: Hope You Guess My Name
164,22A-Irish Legends (The Tain): Red Ledger,Myths and Legends,Myths and Legends22A-Irish Legends (The Tain): Red Ledger
167,3B-Vikings: All that Hate’s Gonna Burn You Up,Myths and Legends,Myths and Legends3B-Vikings: All that Hate’s Gonna Burn You Up
168,70-Ugly Duckling: Fowl Play,Myths and Legends,Myths and Legends70-Ugly Duckling: Fowl Play
169,A new law to “save the animals”,"Today, Explained","Today, ExplainedA new law to “save the animals”"
171,101-Fairy Tales: Three Dog Night,Myths and Legends,Myths and Legends101-Fairy Tales: Three Dog Night
172,168-Robin Hood: Team of Rivals,Myths and Legends,Myths and Legends168-Robin Hood: Team of Rivals
173,71C-Sinbad: There and Back and There and Back Again,Myths and Legends,Myths and Legends71C-Sinbad: There and Back and There and Back Again
175,153-Odysseus: The Angry One,Myths and Legends,Myths and Legends153-Odysseus: The Angry One
176,139A-Irish Legends: The Hound,Myths and Legends,Myths and Legends139A-Irish Legends: The Hound
178,Not So Simple Math | With Sarah Paulson,Modern Love,Modern LoveNot So Simple Math | With Sarah Paulson
181,26-Japanese Fairy Tales: Wisdom,Myths and Legends,Myths and Legends26-Japanese Fairy Tales: Wisdom
183,147A-Oedipus: Team Spear It,Myths and Legends,Myths and Legends147A-Oedipus: Team Spear It
184,121-Grimm Brothers: King of the Mountain,Myths and Legends,Myths and Legends121-Grimm Brothers: King of the Mountain
