podcast_id,episode,podcast,key
297,Where It All Started | Modern Love Bonus Episode,Modern Love,Modern LoveWhere It All Started | Modern Love Bonus Episode
298,80A-Medusa: Golden Child,Myths and Legends,Myths and Legends80A-Medusa: Golden Child
299,55-Grimm: My (Bird) Heart Will Go On,Myths and Legends,Myths and Legends55-Grimm: My (Bird) Heart Will Go On
301,106B-African Legends: Bad Move,Myths and Legends,Myths and Legends106B-African Legends: Bad Move
303,53-African Folklore: Crocodile Tears,Myths and Legends,Myths and Legends53-African Folklore: Crocodile Tears
305,128-Irish folklore: Give Him the Finger,Myths and Legends,Myths and Legends128-Irish folklore: Give Him the Finger
308,Just Friends? | With Tony Hale,Modern Love,Modern LoveJust Friends? | With Tony Hale
309,83-Tale of Tales: Skin Deep,Myths and Legends,Myths and Legends83-Tale of Tales: Skin Deep
311,132A-Trojan War: The Wars to Come,Myths and Legends,Myths and Legends132A-Trojan War: The Wars to Come
315,36B-Pocahontas: Between Two Streams,Myths and Legends,Myths and Legends36B-Pocahontas: Between Two Streams
317,17B-Icarus and Daedalus: A Portrait of the Artificer as a Young Man,Myths and Legends,Myths and Legends17B-Icarus and Daedalus: A Portrait of the Artificer as a Young Man
318,"Bicycle Theme (from ""Pokémon Red & Blue"") - Lo-Fi Edit",Besso0,"Besso0Bicycle Theme (from ""Pokémon Red & Blue"") - Lo-Fi Edit"
322,129A-Persian Mythology: The Mammoth that Rides,Myths and Legends,Myths and Legends129A-Persian Mythology: The Mammoth that Rides
323,Myths and Legends Trailer,Myths and Legends,Myths and LegendsMyths and Legends Trailer
324,29-Grimm: Upward Mobility,Myths and Legends,Myths and Legends29-Grimm: Upward Mobility
329,156-Italian Folklore: Clever Girl,Myths and Legends,Myths and Legends156-Italian Folklore: Clever Girl
330,13A-Ragnar Lodbrok: The Beggar King,Myths and Legends,Myths and Legends13A-Ragnar Lodbrok: The Beggar King
332,86-Grimm: Clever,Myths and Legends,Myths and Legends86-Grimm: Clever
337,164B-Lady White Snake: Enlighten Me,Myths and Legends,Myths and Legends164B-Lady White Snake: Enlighten Me
338,'An Interlude Of Clarity' | With Judd Apatow,Modern Love,Modern Love'An Interlude Of Clarity' | With Judd Apatow
339,49-Russian Folklore: I Pity the Fool,Myths and Legends,Myths and Legends49-Russian Folklore: I Pity the Fool
341,142B-Rome: Politics,Myths and Legends,Myths and Legends142B-Rome: Politics
342,100B-Knights of the Round Table: Family Reunion,Myths and Legends,Myths and Legends100B-Knights of the Round Table: Family Reunion
343,"Smells Like Teen Spirit (From ""Black Widow"")",Geek Music,"Geek MusicSmells Like Teen Spirit (From ""Black Widow"")"
344,79-Odin: The War to Begin all Wars,Myths and Legends,Myths and Legends79-Odin: The War to Begin all Wars
346,113-Armenian folklore: Occupational Hazard,Myths and Legends,Myths and Legends113-Armenian folklore: Occupational Hazard
347,04. I Am a Crook,Batman Unburied,Batman Unburied04. I Am a Crook
348,129B-Persian mythology: Champions,Myths and Legends,Myths and Legends129B-Persian mythology: Champions
349,90-Viking Legends: Mighty,Myths and Legends,Myths and Legends90-Viking Legends: Mighty
350,150A-European Epics: King Me,Myths and Legends,Myths and Legends150A-European Epics: King Me
351,170B-Norse Sagas: On a Long Enough Timeline,Myths and Legends,Myths and Legends170B-Norse Sagas: On a Long Enough Timeline
352,"6B-Merlin: What’s Red, White, and Fighting All Over",Myths and Legends,"Myths and Legends6B-Merlin: What’s Red, White, and Fighting All Over"
354,266-1001 Nights: Good Night and Good Luck,Myths and Legends,Myths and Legends266-1001 Nights: Good Night and Good Luck
356,03. Dog With a Bone,Batman Unburied,Batman Unburied03. Dog With a Bone
358,33-Ali Baba: Inheritance,Myths and Legends,Myths and Legends33-Ali Baba: Inheritance
359,Parinda,Jal -The Band,Jal -The BandParinda
360,152-King Arthur: When in Rome,Myths and Legends,Myths and Legends152-King Arthur: When in Rome
363,"Pallet Town (from from ""Pokémon Red & Blue"") - Lo-Fi Edit",Besso0,"Besso0Pallet Town (from from ""Pokémon Red & Blue"") - Lo-Fi Edit"
365,46B-Jason and the Argonauts: MacGuffin,Myths and Legends,Myths and Legends46B-Jason and the Argonauts: MacGuffin
366,37-Hercules: The Best at What He Does,Myths and Legends,Myths and Legends37-Hercules: The Best at What He Does
367,41A-Lancelot: The Stolen Child,Myths and Legends,Myths and Legends41A-Lancelot: The Stolen Child
368,The Race Grows Sweeter | With Mary-Chapin Carpenter,Modern Love,Modern LoveThe Race Grows Sweeter | With Mary-Chapin Carpenter
370,105B-Reynard: Ferocious Mr. Fox,Myths and Legends,Myths and Legends105B-Reynard: Ferocious Mr. Fox
371,34-Greek Mythology: Uphill Battle,Myths and Legends,Myths and Legends34-Greek Mythology: Uphill Battle
372,Missed Connection | With Lauren Molina,Modern Love,Modern LoveMissed Connection | With Lauren Molina
373,The Doorman | With Cecily Strong,Modern Love,Modern LoveThe Doorman | With Cecily Strong
375,169-1001 Nights: A Bottle of Djinn,Myths and Legends,Myths and Legends169-1001 Nights: A Bottle of Djinn
378,119-Sleeping Beauty: Rude Awakening,Myths and Legends,Myths and Legends119-Sleeping Beauty: Rude Awakening
380,8-Merlin: Call of the Wyllt,Myths and Legends,Myths and Legends8-Merlin: Call of the Wyllt
381,93A-Amazons: Wonder Women,Myths and Legends,Myths and Legends93A-Amazons: Wonder Women
382,130B-Jungle Book: The Strength of the Pack,Myths and Legends,Myths and Legends130B-Jungle Book: The Strength of the Pack
384,Coming Out As A Modern Family | With Maria Bello,Modern Love,Modern LoveComing Out As A Modern Family | With Maria Bello
386,52-Greek Mythology: An Eternal Flame,Myths and Legends,Myths and Legends52-Greek Mythology: An Eternal Flame
389,Batman Unburied Trailer,Batman Unburied,Batman UnburiedBatman Unburied Trailer
390,151B-Faust: The Bad Place,Myths and Legends,Myths and Legends151B-Faust: The Bad Place
391,"Broken, Not Bound | With America Ferrera",Modern Love,"Modern LoveBroken, Not Bound | With America Ferrera"
392,A Prince Charming For The Prom | With Tituss Burgess,Modern Love,Modern LoveA Prince Charming For The Prom | With Tituss Burgess
394,2: 7 Beliefs of Emotionally Healthy People,An Audio Guide to Happiness,An Audio Guide to Happiness2: 7 Beliefs of Emotionally Healthy People
395,"Lavender Town (from ""Pokémon Blue & Red"") - Lo-Fi Edit",Besso0,"Besso0Lavender Town (from ""Pokémon Blue & Red"") - Lo-Fi Edit"
396,02. Such Wonderful Secrets,Batman Unburied,Batman Unburied02. Such Wonderful Secrets
397,McKinsey Staffing and Professional Development,McKinsey Recruiting,McKinsey RecruitingMcKinsey Staffing and Professional Development
398,170A-Norse Sagas: Good for Nothing,Myths and Legends,Myths and Legends170A-Norse Sagas: Good for Nothing
399,Lamhay,Jal -The Band,Jal -The BandLamhay
401,"'Man-ifesting A Cultural Shift' with Trevor Noah, Andy Cohen and Judd Apatow",Archetypes,"Archetypes'Man-ifesting A Cultural Shift' with Trevor Noah, Andy Cohen and Judd Apatow"
405,174-Medieval Knights: Take Your Time,Myths and Legends,Myths and Legends174-Medieval Knights: Take Your Time
407,176-The Emperor's New Clothes: Matchless,Myths and Legends,Myths and Legends176-The Emperor's New Clothes: Matchless
408,177B-Trojan War: Storm of Spears,Myths and Legends,Myths and Legends177B-Trojan War: Storm of Spears
411,"Rustboro City (from ""Pokémon Ruby & Sapphire"") - Lo-Fi Edit",Besso0,"Besso0Rustboro City (from ""Pokémon Ruby & Sapphire"") - Lo-Fi Edit"
412,BA.5 and DIY Covid,"Today, Explained","Today, ExplainedBA.5 and DIY Covid"
413,31B-Viking Sagas: Face-off,Myths and Legends,Myths and Legends31B-Viking Sagas: Face-off
414,167-Nutcracker: Cracked,Myths and Legends,Myths and Legends167-Nutcracker: Cracked
415,36A-Pocahontas: The Empire Business,Myths and Legends,Myths and Legends36A-Pocahontas: The Empire Business
416,71B-Sinbad: Snake Eyes,Myths and Legends,Myths and Legends71B-Sinbad: Snake Eyes
418,Thanks for listening!,An Audio Guide to Happiness,An Audio Guide to HappinessThanks for listening!
420,62-Thor: Hammer Time,Myths and Legends,Myths and Legends62-Thor: Hammer Time
422,The Glow Down of the Green M&M,Not Past It ,Not Past It The Glow Down of the Green M&M
426,Seesawing Libidos | With Stephen Bogardus,Modern Love,Modern LoveSeesawing Libidos | With Stephen Bogardus
427,41C-Lancelot: It's Complicated,Myths and Legends,Myths and Legends41C-Lancelot: It's Complicated
428,95B-Irish Legends: Finn the Human,Myths and Legends,Myths and Legends95B-Irish Legends: Finn the Human
429,In Darkness And In Light | With Patina Miller,Modern Love,Modern LoveIn Darkness And In Light | With Patina Miller
431,151A-Faust: A Man of Wealth and Taste,Myths and Legends,Myths and Legends151A-Faust: A Man of Wealth and Taste
432,06. Work Clothes,Batman Unburied,Batman Unburied06. Work Clothes
433,It's All Normal | The Beauty of Choice,The Daily Stoic,The Daily StoicIt's All Normal | The Beauty of Choice
434,Beowulf Pt. 2,Mythology,MythologyBeowulf Pt. 2
436,92-Greek Myths: Gigantic,Myths and Legends,Myths and Legends92-Greek Myths: Gigantic
437,106C-African Legends: Who Tells Your Story,Myths and Legends,Myths and Legends106C-African Legends: Who Tells Your Story
439,Between The Bars | With Joshua Jackson,Modern Love,Modern LoveBetween The Bars | With Joshua Jackson
440,Leaps of Faith | Modern Love Bonus Episode,Modern Love,Modern LoveLeaps of Faith | Modern Love Bonus Episode
441,67A-Gawain: To the Dogs,Myths and Legends,Myths and Legends67A-Gawain: To the Dogs
446,"Azalea Town (from ""Pokémon Gold & Silver"") - Lo-Fi Edit",Besso0,"Besso0Azalea Town (from ""Pokémon Gold & Silver"") - Lo-Fi Edit"
447,38A-Korean Literature: Crossing the Threshold,Myths and Legends,Myths and Legends38A-Korean Literature: Crossing the Threshold
448,58-Native American Folklore: Monster,Myths and Legends,Myths and Legends58-Native American Folklore: Monster
449,6A-King Arthur Prologue: The Once and Really Only that One Time King,Myths and Legends,Myths and Legends6A-King Arthur Prologue: The Once and Really Only that One Time King
450,Smart Talks with IBM: Unlocking Data Strategy: Data Literacy for Better Business,Stuff To Blow Your Mind,Stuff To Blow Your MindSmart Talks with IBM: Unlocking Data Strategy: Data Literacy for Better Business
451,112C-Pinocchio: Whale Jail,Myths and Legends,Myths and Legends112C-Pinocchio: Whale Jail
452,Dil Haray Pukaray,Jal -The Band,Jal -The BandDil Haray Pukaray
454,97-Jack and the Beanstalk: Sleeping Giant,Myths and Legends,Myths and Legends97-Jack and the Beanstalk: Sleeping Giant
456,45-Rumpelstiltskin: Let's Make a Deal,Myths and Legends,Myths and Legends45-Rumpelstiltskin: Let's Make a Deal
458,5A-Slavic Folklore: Tried and Died,Myths and Legends,Myths and Legends5A-Slavic Folklore: Tried and Died
460,91-Greek Myths: Fatherhood,Myths and Legends,Myths and Legends91-Greek Myths: Fatherhood
461,"New Bark Town (from ""Pokémon Gold & Silver"") - Lo-Fi Edit",Besso0,"Besso0New Bark Town (from ""Pokémon Gold & Silver"") - Lo-Fi Edit"
463,179-Slavic legends: Grateful Dead,Myths and Legends,Myths and Legends179-Slavic legends: Grateful Dead
466,44-Saint George: Here Be Dragons,Myths and Legends,Myths and Legends44-Saint George: Here Be Dragons
468,23-Cupid and Psyche: Burned,Myths and Legends,Myths and Legends23-Cupid and Psyche: Burned
469,138-Knights of the Round Table: Carl,Myths and Legends,Myths and Legends138-Knights of the Round Table: Carl
470,15-Slavic Folklore: Bad Wolf,Myths and Legends,Myths and Legends15-Slavic Folklore: Bad Wolf
471,120A-Holy Grail: Only the Penitent Man Will Pass,Myths and Legends,Myths and Legends120A-Holy Grail: Only the Penitent Man Will Pass
472,145-Achilles: The Age of Heroes,Myths and Legends,Myths and Legends145-Achilles: The Age of Heroes
473,146-Scandinavian Folklore: Twinning,Myths and Legends,Myths and Legends146-Scandinavian Folklore: Twinning
474,82B-Arabian Nights: Show Me What You Got,Myths and Legends,Myths and Legends82B-Arabian Nights: Show Me What You Got
475,1: 5 Benefits of Gratitude,An Audio Guide to Happiness,An Audio Guide to Happiness1: 5 Benefits of Gratitude
476,165-Greek Myths: A Tangled Web,Myths and Legends,Myths and Legends165-Greek Myths: A Tangled Web
477,'The Plunge' | With Dakota Fanning,Modern Love,Modern Love'The Plunge' | With Dakota Fanning
