id,track_uri,track_name,artist_id,artist_name,artist_uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key
0tjYK2gtxo8fT2kdD4XGeF,spotify:track:0tjYK2gtxo8fT2kdD4XGeF,Just Friends,2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,spotify:artist:2jnIB6XdLvnJUeNTy5A0J2,0.0143,0.604,0.716,0.0,0.272,-6.649,0.0498,127.989,0.782,Just Friends:Why Don't We
2GAhgAjOhEmItWLfgisyOn,spotify:track:2GAhgAjOhEmItWLfgisyOn,Low,7tYKF4w9nC0nq9CsPZTHyP,SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,0.425,0.698,0.546,0.00314,0.16,-7.234,0.0559,145.044,0.335,Low:SZA
6WdfqDzpz3XkvMSlPVc0U8,spotify:track:6WdfqDzpz3XkvMSlPVc0U8,"Nobody Like U - From ""Turning Red""",7jLpPyJ5gQxCvwiBsUfFu6,4*TOWN (From Disney and Pixar’s Turning Red),spotify:artist:7jLpPyJ5gQxCvwiBsUfFu6,0.125,0.912,0.722,0.0,0.0872,-6.527,0.152,105.008,0.734,"Nobody Like U - From ""Turning Red"":4*TOWN (From Disney and Pixar’s Turning Red)"
27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,0.0203,0.736,0.704,0.0,0.0501,-7.409,0.0615,149.995,0.894,INDUSTRY BABY (feat. Jack Harlow):Lil Nas X
3S7A85bAWOd6ltk6r2ANOI,spotify:track:3S7A85bAWOd6ltk6r2ANOI,U Are My High,540vIaP2JwjQb9dm3aArA4,DJ Snake,spotify:artist:540vIaP2JwjQb9dm3aArA4,0.0221,0.503,0.783,0.00223,0.14,-4.761,0.0385,125.122,0.213,U Are My High:DJ Snake
17FK4etx1u2NK60cptINMS,spotify:track:17FK4etx1u2NK60cptINMS,100 Bad Days,6s22t5Y3prQHyaHWUN1R1C,AJR,spotify:artist:6s22t5Y3prQHyaHWUN1R1C,0.0465,0.626,0.639,0.0,0.161,-5.62,0.085,144.009,0.638,100 Bad Days:AJR
3xKsf9qdS1CyvXSMEid6g8,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Pink + White,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,0.667,0.545,0.545,5.48e-05,0.417,-7.362,0.107,159.94,0.549,Pink + White:Frank Ocean
5tiZBnx5IvETA0Pj3gELjn,spotify:track:5tiZBnx5IvETA0Pj3gELjn,me & ur ghost,2cFrymmkijnjDg9SS92EPM,blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,0.0488,0.742,0.679,0.0,0.0754,-4.594,0.0259,100.041,0.856,me & ur ghost:blackbear
0FZ4Dmg8jJJAPJnvBIzD9z,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),46SHBwWsqBkxI7EeeBEQG7,Kodak Black,spotify:artist:46SHBwWsqBkxI7EeeBEQG7,0.0521,0.861,0.603,0.0,0.0924,-5.788,0.176,98.043,0.504,ZEZE (feat. Travis Scott & Offset):Kodak Black
2aSC2xhRxOLiiZZVjhbylH,spotify:track:2aSC2xhRxOLiiZZVjhbylH,"Hold On, We're Going Home",3TVXtAsR1Inumwj472S9r4,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,0.00421,0.777,0.414,2.73e-05,0.0724,-7.44,0.0946,100.002,0.287,"Hold On, We're Going Home:Drake"
6eEZVHfuLQJsUO8kO4v3io,spotify:track:6eEZVHfuLQJsUO8kO4v3io,Where's My Love - Piano Solo,6AyATGg7mDgBlZ4N5uNog0,SYML,spotify:artist:6AyATGg7mDgBlZ4N5uNog0,0.989,0.539,0.051,0.928,0.127,-16.503,0.0587,180.006,0.134,Where's My Love - Piano Solo:SYML
0USwjCkrlqRjpdb1WFUnsh,spotify:track:0USwjCkrlqRjpdb1WFUnsh,Diya Jaley,5hjVqhHwLYWW9ZIxuILJF7,Hassan & Roshaan,spotify:artist:5hjVqhHwLYWW9ZIxuILJF7,0.0447,0.591,0.726,0.000111,0.404,-7.469,0.031,123.986,0.613,Diya Jaley:Hassan & Roshaan
7bpekJEVJcOntT9ohNh2Kz,spotify:track:7bpekJEVJcOntT9ohNh2Kz,Do I Love You Because You’re Beautiful?,47NluEnhJda2gsnjuvcoob,Santino Fontana,spotify:artist:47NluEnhJda2gsnjuvcoob,0.942,0.306,0.222,3.56e-06,0.236,-8.768,0.0373,80.287,0.109,Do I Love You Because You’re Beautiful?:Santino Fontana
7KA4W4McWYRpgf0fWsJZWB,spotify:track:7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,0.371,0.558,0.559,7.49e-06,0.109,-9.222,0.0959,78.558,0.62,"See You Again (feat. Kali Uchis):Tyler, The Creator"
3GdWfmQBiiJrDUvSZS1bGv,spotify:track:3GdWfmQBiiJrDUvSZS1bGv,Never Sleep (with Lil Baby feat. Travis Scott),7rkW85dBwwrJtlHRDkJDAC,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,0.00639,0.819,0.651,0.0,0.122,-5.829,0.169,139.957,0.501,Never Sleep (with Lil Baby feat. Travis Scott):NAV
6G5r4fZ9BHHIddTlbOLE47,spotify:track:6G5r4fZ9BHHIddTlbOLE47,Ajmer Ka Mehakta Chaman,0sbtGmW8r5bxfXzla8a7eI,Sabri Brothers,spotify:artist:0sbtGmW8r5bxfXzla8a7eI,0.492,0.438,0.928,0.000103,0.681,-10.44,0.216,100.303,0.611,Ajmer Ka Mehakta Chaman:Sabri Brothers
7MqsvNnxPod3VETVHFzMBf,spotify:track:7MqsvNnxPod3VETVHFzMBf,Spend My Time With You,2uxrgKnuXM69RPlPQg97Aj,Drowning Roses,spotify:artist:2uxrgKnuXM69RPlPQg97Aj,0.359,0.662,0.375,0.771,0.151,-12.773,0.0368,95.011,0.305,Spend My Time With You:Drowning Roses
2IqjKEBiz0CdLKdkXhxw84,spotify:track:2IqjKEBiz0CdLKdkXhxw84,Retrograde,53KwLdlmrlCelAZMaLVZqU,James Blake,spotify:artist:53KwLdlmrlCelAZMaLVZqU,0.873,0.533,0.251,0.104,0.134,-11.283,0.0372,77.503,0.186,Retrograde:James Blake
4bPQs0PHn4xbipzdPfn6du,spotify:track:4bPQs0PHn4xbipzdPfn6du,I Write Sins Not Tragedies,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,0.0807,0.569,0.83,0.0,0.114,-4.106,0.14,170.094,0.609,I Write Sins Not Tragedies:Panic! At The Disco
7x74XLYJqptDCmY4y3FaVh,spotify:track:7x74XLYJqptDCmY4y3FaVh,My Head & My Heart - Jonas Blue Remix,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F,0.0025,0.675,0.899,8.33e-05,0.298,-4.787,0.0391,123.034,0.344,My Head & My Heart - Jonas Blue Remix:Ava Max
6gi7qsHSH2JWZsTRHndxqm,spotify:track:6gi7qsHSH2JWZsTRHndxqm,Rain (from The Suicide Squad),4ZgQDCtRqZlhLswVS6MHN4,grandson,spotify:artist:4ZgQDCtRqZlhLswVS6MHN4,0.0135,0.483,0.643,7.04e-05,0.361,-6.872,0.0404,125.938,0.219,Rain (from The Suicide Squad):grandson
40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,0ECwFtbIWEVNwjlrfc6xoL,Eagles,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125,0.609,Hotel California - 2013 Remaster:Eagles
3aA6xB0tOilDDX17fIJ0Bl,spotify:track:3aA6xB0tOilDDX17fIJ0Bl,Freak,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,0.0969,0.688,0.716,0.0,0.0989,-5.702,0.0385,116.912,0.373,Freak:Doja Cat
6QHXcb0eFwOKZOZ9bOFmxm,spotify:track:6QHXcb0eFwOKZOZ9bOFmxm,Toxic Pony,2f1gRV8q7Wua3x7dkoWrbS,ALTÉGO,spotify:artist:2f1gRV8q7Wua3x7dkoWrbS,0.00757,0.775,0.652,0.000598,0.105,-9.906,0.152,143.08,0.922,Toxic Pony:ALTÉGO
0AluA5RNsa4Cx6XRhf2hWZ,spotify:track:0AluA5RNsa4Cx6XRhf2hWZ,10 Freaky Girls (with 21 Savage),0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,0.588,0.81,0.353,0.0,0.102,-9.931,0.31,88.031,0.0727,10 Freaky Girls (with 21 Savage):Metro Boomin
42m3eP1JJhtzffal9B136J,spotify:track:42m3eP1JJhtzffal9B136J,7am On Bridle Path,3TVXtAsR1Inumwj472S9r4,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,0.225,0.724,0.531,0.0,0.11,-4.108,0.298,89.901,0.141,7am On Bridle Path:Drake
0sYJr89AznFrfAv6knnVtp,spotify:track:0sYJr89AznFrfAv6knnVtp,Feeding the Family,6V70yeZQCoSR2M3fyW8qiA,Spacey Jane,spotify:artist:6V70yeZQCoSR2M3fyW8qiA,0.00212,0.529,0.861,0.00782,0.18,-4.654,0.0404,104.996,0.566,Feeding the Family:Spacey Jane
5o4znEHwozOHIgHoWAllnr,spotify:track:5o4znEHwozOHIgHoWAllnr,Mama's Gun,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,0.699,0.46,0.314,4.03e-06,0.122,-10.158,0.0267,90.014,0.216,Mama's Gun:Glass Animals
59lKYwMCrmWOuOf0vZuyOb,spotify:track:59lKYwMCrmWOuOf0vZuyOb,First Night Back in Port,16f8bHHqNwQWgqWMYyS9ij,Ye Banished Privateers,spotify:artist:16f8bHHqNwQWgqWMYyS9ij,0.203,0.479,0.783,0.0,0.937,-9.086,0.0657,135.304,0.655,First Night Back in Port:Ye Banished Privateers
