tracks_id,id,track_uri,track_name,artist_id,artist_name,artist_uri,album_id,album_name,album_uri,key
48,1OuwL8fpUKV1TIVaA6hbJh,spotify:track:1OuwL8fpUKV1TIVaA6hbJh,SHAAM,0nES9rTgJJV7uJF2cIkJNS,Talal Qureshi,spotify:artist:0nES9rTgJJV7uJF2cIkJNS,77mickx6ctnKNGiANxDpZR,SHAAM,spotify:album:77mickx6ctnKNGiANxDpZR,SHAAM:Talal Qureshi
49,5zKRKQwLVBT1WDJE7XJrnm,spotify:track:5zKRKQwLVBT1WDJE7XJrnm,Koi Kahe Kehta Rahe,1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,spotify:artist:1SJOL9HJ08YOn92lFcYf8a,3Hks2UVvtQT8Q9VHRAJUgI,Dil Chahta Hai,spotify:album:3Hks2UVvtQT8Q9VHRAJUgI,Koi Kahe Kehta Rahe:Shankar Mahadevan
50,0LRrtw1MFASb7tgyHqVXnh,spotify:track:0LRrtw1MFASb7tgyHqVXnh,The New National Anthem,4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,spotify:artist:4iJLPqClelZOBCBifm8Fzv,01dcOm8Whefyve6zChrq9Q,Selfish Machines,spotify:album:01dcOm8Whefyve6zChrq9Q,The New National Anthem:Pierce The Veil
51,4FOE2MY76esoRyIqcbiRxC,spotify:track:4FOE2MY76esoRyIqcbiRxC,Save Your Tears,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,1rwG6nt1gLU3vgM1itvebq,Pop Blockbusters,spotify:album:1rwG6nt1gLU3vgM1itvebq,Save Your Tears:The Weeknd
52,4Ps4vkWuKQt2Wkk2PMaZAE,spotify:track:4Ps4vkWuKQt2Wkk2PMaZAE,Want To,2I9SLklAOG0vdMiUUMNxRl,88GLAM,spotify:artist:2I9SLklAOG0vdMiUUMNxRl,1MkdKYy2Kdd0YAI9K9AxH6,Close To Heaven Far From God,spotify:album:1MkdKYy2Kdd0YAI9K9AxH6,Want To:88GLAM
53,3RZMzCvYsmJ0u2ioKTOsmJ,spotify:track:3RZMzCvYsmJ0u2ioKTOsmJ,Honky Tonk Women - Mono Version,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,0aqZJlugIkTUWW1sa4BANp,Hot Rocks (1964-1971),spotify:album:0aqZJlugIkTUWW1sa4BANp,Honky Tonk Women - Mono Version:The Rolling Stones
54,2FUNBaa5DwItJtYEBgAblU,spotify:track:2FUNBaa5DwItJtYEBgAblU,monster,1URnnhqYAYcrqrcwql10ft,21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft,007DWn799UWvfY1wwZeENR,i am > i was,spotify:album:007DWn799UWvfY1wwZeENR,monster:21 Savage
55,2PoqubfYq2Cl0nUyrrTht6,spotify:track:2PoqubfYq2Cl0nUyrrTht6,Swimming In The Moonlight,0YhUSm86okLWldQVwJkLlP,Bad Suns,spotify:artist:0YhUSm86okLWldQVwJkLlP,2YXl7mV4d30fEbwpVQ7YBQ,Disappear Here,spotify:album:2YXl7mV4d30fEbwpVQ7YBQ,Swimming In The Moonlight:Bad Suns
56,34bkeltN0CGAKzj4DRG4sX,spotify:track:34bkeltN0CGAKzj4DRG4sX,Crying on the Dancefloor,6eJa3zG1QZLRB3xgRuyxbm,Dayglow,spotify:artist:6eJa3zG1QZLRB3xgRuyxbm,0brMHlMYz5t58uT1Q4bkdF,Harmony House,spotify:album:0brMHlMYz5t58uT1Q4bkdF,Crying on the Dancefloor:Dayglow
57,3IOQZRcEkplCXg6LofKqE9,spotify:track:3IOQZRcEkplCXg6LofKqE9,Iron Man - 2012 - Remaster,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,6r7LZXAVueS5DqdrvXJJK7,Paranoid (Remaster),spotify:album:6r7LZXAVueS5DqdrvXJJK7,Iron Man - 2012 - Remaster:Black Sabbath
