library_track_id,artist,album,track,uri
532,Jax Jones,Snacks,All Day And Night - Jax Jones & Martin Solveig Present Europa,spotify:track:11VJlLCmJTH67Jv0TBVzxH
533,Arizona Zervas,ROXANNE,ROXANNE,spotify:track:696DnlkuDOXcMAnKlTgXXK
534,Riz Ahmed,The Long Goodbye,Deal With It,spotify:track:3l9KybL4tK1jAP7u3UkWwe
535,Nusrat Fateh Ali Khan,Tere Bin Nahin Lagda Dil Mera - Best Hits,Tere Bin Nahin Lagda,spotify:track:64QRJvOEsryufhCkeZGAPf
536,Ed Sheeran,I Don't Want Your Money (feat. H.E.R.),I Don't Want Your Money (feat. H.E.R.),spotify:track:69xcWjYE6YYA638ThAHA6M
537,Bishop Briggs,Bishop Briggs,Dead Man's Arms,spotify:track:318CwhlHyuxroBtuoeh3oR
538,Iggy Pop,Red Right Hand,Red Right Hand,spotify:track:5WBhTqcyiSEOoBCBcj9e22
539,Bazzi,Young & Alive,Young & Alive,spotify:track:5RsKelNxucrDxgMbZ3vd3W
540,Deb Never,Sorry,Sorry,spotify:track:7ufvTDIjfqAhYZLXUX0lrF
541,Lana Del Rey,Norman Fucking Rockwell!,Fuck it I love you,spotify:track:7MtVPRGtZl6rPjMfLoI3Lh
542,Arctic Monkeys,Live at the Royal Albert Hall,Do I Wanna Know? - Live,spotify:track:5zDoSmh06F7kjXGIHFhQzh
543,omer inayat,Waali,Tenu Le Ke,spotify:track:3IHLJDSDpu2JeyQqIWsCig
544,Otnicka,Babel,Babel,spotify:track:0ZnwzjB40zdTZrEwPvaRqG
545,Shamoon Ismail,Cookie,Khayal,spotify:track:2AHlAZJS2tTnhDqqlIm6O3
546,Sia,The Hamilton Mixtape,Satisfied (feat. Miguel & Queen Latifah),spotify:track:3VyxvhpCUNVTvPO2B46lsa
547,Khalid,Know Your Worth,Know Your Worth,spotify:track:0TrPqhAMoaKUFLR7iYDokf
548,Nusrat Fateh Ali Khan,30 Greatest Hits Nusrat Fateh Ali Khan and Sabri Brothers,Dum Mast Qalander Mast,spotify:track:6kNPTNEwxwCCqkP4JbkWLK
549,gianni & kyle,do u even miss me at all?,do u even miss me at all?,spotify:track:1AHf5FSofKcUw8tyKkccKF
550,Yashraj,Dhundhala,Dhundhala,spotify:track:6PSGzXHJaQogb2G8m8gGZZ
