id,track_uri,track_name,artist_id,artist_name,artist_uri,genres_albums,key
7IGvC2xqTwDdTUIGrtYTYG,spotify:track:7IGvC2xqTwDdTUIGrtYTYG,Yaad Sajan - Live,24X1z32aFn59XU4P9Vh9gP,Hadiqa Kiani,spotify:artist:24X1z32aFn59XU4P9Vh9gP,"['afghan pop', 'classic pakistani pop', 'ghazal', 'pakistani pop', 'sufi']",Yaad Sajan - Live:Hadiqa Kiani
5bLGQqcpsz5ISWeihZfJnR,spotify:track:5bLGQqcpsz5ISWeihZfJnR,Are You Entertained (feat. Ed Sheeran),1z7b1Pr1rSlvWRzsW3HOrS,Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,"['hawaiian hip hop', 'rap']",Are You Entertained (feat. Ed Sheeran):Russ
4XvcHTUfIlWfyJTRG0aqlo,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,2055,6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,spotify:artist:6EPlBSH2RSiettczlz7ihV,"['brooklyn drill', 'nyc rap']",2055:Sleepy Hallow
2qib2ybgjMu1I50ZPjdDBJ,spotify:track:2qib2ybgjMu1I50ZPjdDBJ,Sanu Ek Pal Chain Na Aawe,5HcunTidTUrOaf8V0iJcvl,Nusrat Fateh Ali Khan,spotify:artist:5HcunTidTUrOaf8V0iJcvl,"['indian fusion', 'pakistani folk', 'qawwali', 'sufi', 'world']",Sanu Ek Pal Chain Na Aawe:Nusrat Fateh Ali Khan
3xEtL2BOEJF00blaYjyRg5,spotify:track:3xEtL2BOEJF00blaYjyRg5,Seperate Ways,6Et1m4ITGVs524OB1tBr7Z,4am,spotify:artist:6Et1m4ITGVs524OB1tBr7Z,[],Seperate Ways:4am
73QEmww7TRmy7zF3qV5DAE,spotify:track:73QEmww7TRmy7zF3qV5DAE,Dream Girl,73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,spotify:artist:73Np75Wv2tju61Eo9Zw4IR,"['hollywood', 'show tunes']",Dream Girl:Idina Menzel
,165-Greek Myths: A Tangled Web,Myths and Legends,,,,,
6Ffu3RbeGb78BhcOMXBjGs,spotify:track:6Ffu3RbeGb78BhcOMXBjGs,Iffy,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,"['dance pop', 'r&b']",Iffy:Chris Brown
6OlDE7BST5pqCv5RzotHji,spotify:track:6OlDE7BST5pqCv5RzotHji,Dil Mera,6QoCrBHsojKnOrsGNfRcTN,Talwiinder,spotify:artist:6QoCrBHsojKnOrsGNfRcTN,"['desi hip hop', 'punjabi hip hop']",Dil Mera:Talwiinder
1tdcgxjvbBSAdOwzFUmdgm,spotify:track:1tdcgxjvbBSAdOwzFUmdgm,Boom,738wLrAtLtCtFOLvQBXOXp,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",Boom:Major Lazer
