artist,album,track,uri
Nusrat Fateh Ali Khan,My Top 50 Qawwalies,Tumhain Dillagi Bhool Jani Paray Gi,spotify:track:5emRxq4oACZeHNuUhw09XV
Hozier,"Wasteland, Baby!",Would That I,spotify:track:37zuIvk4KBkAxxLJsxJaHq
Hozier,Hozier (Expanded Edition),Like Real People Do,spotify:track:57V4uc2b2diZ4RPHXWecb9
Khanvict,Kahani,Turiya Turiya,spotify:track:1F6QRDyVmsTu3rBdeo78mY
Fareed Ayaz Abu Muhammad Qawwal,"From Pakistan With Love, Vol. 1",Mere Baney Ki,spotify:track:12AhPYjDne2IIg8DOj47lc
Riz Ahmed,The Long Goodbye,Toba Tek Singh,spotify:track:40YF7t5DgNQBXsrul31hdr
Haiden,Can't Hurt Me,Can't Hurt Me,spotify:track:4BCAXwVHdlX8xivo58czJH
Giveon,When It's All Said And Done... Take Time,Heartbreak Anniversary,spotify:track:27tDoZsybt3KvJWTDoW9id
Anuv Jain,Gul,Gul,spotify:track:0NLkVxf0PyxsXBG3EuZcJf
Bayaan,4 Saal,Nahin Milta,spotify:track:0cUdmruT6kjxa5KpteSdwc
dhruv,rapunzel,double take,spotify:track:0QzuaeCEEOV40Pn7IvKEny
Julia Michaels,Jump (with Trippie Redd),Jump (with Trippie Redd),spotify:track:2OvV4NjEBRE9v8Oo7QeUCq
Riz Ahmed,The Long Goodbye,Where You From,spotify:track:1rZ4MbM8b3Q7crFW4j0KfI
Hozier,Nina Cried Power - EP,NFWMB,spotify:track:2iQYqdalv245vrCEM4W9N9
Paul Anka,Sings His Favorites,Put Your Head on My Shoulder,spotify:track:7eqNATKM78MkWP6aHGXHEV
Drake,If You're Reading This It's Too Late,Jungle,spotify:track:7JXZq0JgG2zTrSOAgY8VMC
NOISY,So What?,So What?,spotify:track:73W043sEjYgdXLtA1iEFug
Maddie & Tae,Spotify Singles,Watermelon Sugar (featuring Avenue Beat),spotify:track:6pPD1k342KK4fMU6xPHufi
Dayglow,Close To You,Close To You,spotify:track:4ReJJcpW8HtVnqzhf6DwNV
The Paper Kites,Woodland - EP,Bloom - Bonus Track,spotify:track:41yIvlFgvGwxq8qTqAR7eG
Osho Jain,Wahaan,Khud Se,spotify:track:5hL9yKGJAMUxfwsjFnJ0aR
Glass Animals,Dreamland,Hot Sugar,spotify:track:3bPhqdsxSoNrDkDPOWWRZM
NF,The Search,The Search,spotify:track:3oLe5ZILASG8vU5dxIMfLY
Faris Shafi,Nazar,Nazar,spotify:track:0U1CGHIqvoWbgCX5x4tKs6
Nerina Pallot,Hold On,Love Will Tear Us Apart,spotify:track:7qOiwhfmi3EwtujZNKTrgL
Vince Staples,RAMONA PARK BROKE MY HEART,MAGIC,spotify:track:7jN5Abri3a1crehbnlWa1F
WORMONO,Laaree Chootee,Laaree Chootee,spotify:track:0HnbfIzOu6eLF8Kb1mT9Wl
The 1975,A Brief Inquiry Into Online Relationships,Love It If We Made It,spotify:track:6WmIyn2fx1PKQ0XDpYj4VR
