artist,album,track,uri
Nusrat Fateh Ali Khan,Ustad Nusrat Fateh Ali Khan,Sochta Hoon Keh Woh Kitne Masoom Teh - Complete Original Recording,spotify:track:7GIzQFxHdON9BXJXea86pv
The Tamaashbeens,Singles,Lighter machis,spotify:track:0qtUfrAsXBUdTL0Kx7qYm7
The Weeknd,Kiss Land,Kiss Land,spotify:track:5idmfDT06TjCQ1SPDsa5qh
Jimmy Khan,Chan Kithan,Chan Kithan,spotify:track:5MO6k0kveHCQboK4R6aunm
blackbear,queen of broken hearts,queen of broken hearts,spotify:track:1YaLBadQjS701ZLZRGjPMX
Sean Paul,Tomahawk Technique,She Doesn't Mind,spotify:track:1zZIGnXIcDKU8QIUkR20nK
Dave Swarbrick,Swarbrick / Swarbrick II,The Swallows Tail / Rakes of Kildare / Blackthron Stick,spotify:track:4175M4IHnw4xDqZB9gOWFw
Hasan Raheem,Nautanki,Peanut Butter,spotify:track:6DULqMlVA3TBjhl5gxnTp1
Advait,Tu Hai Kahaan?,Tu Hai Kahaan?,spotify:track:3PbTavZmyYwMWqYsAC44id
Chase Atlantic,Nostalgia,Friends,spotify:track:2jQiSYrwJehQAcuaaQrXnS
Hozier,"Wasteland, Baby!","Wasteland, Baby!",spotify:track:1HYnjKqSSHh1tdl2Hi57zH
Shabnam Majeed,Supreme Ishq Anarkali,Sada Hoon Apne Pyar,spotify:track:7zfWzD35I0iE9CmnsKiU74
Danheim,Ivar's Revenge (Danish Viking Music),Ivar's Revenge (Danish Viking Music),spotify:track:09EA4enOk1gBwSEgsxaGkn
DVBBS,West Coast (feat. Quinn XCII),West Coast (feat. Quinn XCII),spotify:track:4fCE1SCDulouoac9Q8XroU
Aziz Mian,Greatest Hits Of Aziz Mian Vol -2,Teri Soorat ( Main Sharabi Sharabi ),spotify:track:760aj6eKUUjKcnzt8nhB81
Teddy Swims,Blinding Lights,Blinding Lights,spotify:track:66aMnwdhkEc1V0AAnyYchX
DripReport,Skechers,Skechers,spotify:track:2alc8VZAzDgdAsL2QMk3hu
Emotional Oranges,The Juice: Vol. I,Personal,spotify:track:5jrr4qdmd6jmstVgHxCXMO
Gorgon City,Escape,One Last Song,spotify:track:705VoqUPldtYc1crZv5oeB
The Neighbourhood,Wiped Out!,Daddy Issues,spotify:track:5E30LdtzQTGqRvNd7l6kG5
Nizami Brothers,"Global Sufi, Vol. 1",Mere Banne Ki Baat,spotify:track:79gkupPwckmzt2wd6iySoq
Quinn XCII,A Letter To My Younger Self,Am I High Rn (feat. blackbear),spotify:track:1db6ixe9nX6cqt2V1DYZnW
BoyWithUke,IDGAF,IDGAF (with blackbear),spotify:track:6Jrdb6CFOJEGaHjaa6c4WR
Mr.Kitty,Time,After Dark,spotify:track:2LKOHdMsL0K9KwcPRlJK2v
Hassan & Roshaan,Chaar Dinon Ka Khwaab,Ishq Bina,spotify:track:2Ex6KWRTPvHtRveKdxc5gC
G-Eazy,The Beautiful & Damned,Him & I (with Halsey),spotify:track:5k38wzpLb15YgncyWdTZE4
Less Is More,Cool Kids/Riptide (Originally Performed by Echosmith and Vance Joy),Cool Kids/Riptide (Originally Performed by Echosmith and Vance Joy),spotify:track:5jtbbkTh7x4UeMVAvF2KaI
Grouplove,Never Trust a Happy Song,Tongue Tied,spotify:track:0GO8y8jQk1PkHzS31d699N
Years & Years,Communion,Desire,spotify:track:20ouJW3BTG6aFAugslihCw
Yashraj,Galat / Sahi,Galat / Sahi,spotify:track:1QtD4zdke0HDhS92yyFSRL
Bayaan,Suno,Teri Tasveer,spotify:track:4iBIFGEGJ0I5ezZZ6VXYp7
Paloma Faith,A Perfect Contradiction,Only Love Can Hurt Like This,spotify:track:62ke5zFUJN6RvtXZgVH0F8
Melanie Martinez,Cry Baby,Mad Hatter,spotify:track:5gWtkdgdyt5bZt9i6n3Kqd
The Fratellis,We Need Medicine,She's Not Gone Yet But She's Leaving,spotify:track:2wZ6WPZzq3doKFyFMwJM97
Shawn Mendes,Spotify Singles,Lost In Japan - Recorded at Spotify Studios NYC,spotify:track:7b1WVMX0FShcPWct8ca7ma
Ritviz,Jeet,Jeet,spotify:track:4ye8U0982eHtlhlvePpxtP
Tigercub,Blue Mist in My Head,Blue Mist in My Head,spotify:track:1mz7I7FgwoyWaFljPHERXW
JVKE,this is what ____ feels like (Vol. 1-4),this is what falling in love feels like,spotify:track:2PWTZV5znjLtZC5T1EVJvL
Taylor Swift,"the ""dropped your hand while dancing"" chapter",it’s time to go,spotify:track:6RvmQShxVQwJ0AWMtP6JoU
Susanna and the Magical Orchestra,Melody Mountain,Love Will Tear Us Apart,spotify:track:3B6mxCWdcuNSfUZWsUZFwi
Hozier,Hozier (Expanded Edition),Someone New,spotify:track:2DNXgvkyv35vTWvdgjs7qn
L'Orchestra Cinematique,Ms Marvel - Blinding Lights,Ms Marvel - Blinding Lights - Epic Version,spotify:track:0ETO7nB1KJ16FkX4JEKPKy
Monsieur Periné,Nuestra Canción (feat. Vicente García),Nuestra Canción (feat. Vicente García),spotify:track:0qP9Kt3gmpDFoDUzl3REGs
Nothing But Thieves,Holding Out for a Hero,"Holding Out for a Hero - From the Trailer for ""Vikings"" - Series 2",spotify:track:60Lov8vYmURSKoxxU8Upbc
Neil Diamond,Love Songs,Sweet Caroline,spotify:track:6b5PBL2QNXmAt1DfqbwO9Z
Dansu,Do Do Do,Do Do Do,spotify:track:6rWdiPTBttPnS7qU0EBjPZ
Two Feet,A 20 Something Fuck,I Feel Like I'm Drowning,spotify:track:3aauaXWRgwCMoykMbI0Jq1
Hari & Sukhmani,Latthay Di Chaadar - Single,Latthay Di Chaadar,spotify:track:0QOJABRwcIx5WfzILs47eJ
Kid Cudi,Entergalactic,Somewhere to Fly (with Don Toliver),spotify:track:1irXetrpIyLUtvkNw2F2tu
Nusrat Fateh Ali Khan,Mustt Mustt,Nothing Without You,spotify:track:39Djd2DKnXaXwVGL6HhUWx
Hadiqa Kiani,Roshni,Boohey Bariyan,spotify:track:5WPRfVAQlrx1wIhyt19ncA
Backstreet Boys,This Is The End: Original Motion Picture Soundtrack,Everybody (Backstreet's Back) - Radio Edit,spotify:track:4rTeOSYqwXNz5qPR2DUTFZ
Nusrat Fateh Ali Khan,Ustad Nusrat Fateh Ali Khan,Tu Kuja Man Kuja - Complete Original Recording,spotify:track:2t7Caefxz7HfyTRyN5VsOL
Hozier,God of War Ragnarök (Original Soundtrack),Blood Upon the Snow,spotify:track:5cgacDGTfR9sm4W03syTyX
AJR,Spotify Singles,Location - Recorded at Spotify Studios NYC,spotify:track:7jwZYPS8reDirsT4Mvqpui
The Weeknd,After Hours,Heartless,spotify:track:6bnF93Rx87YqUBLSgjiMU8
Maanu,Risky,Risky,spotify:track:17ZXHiyOwcSBpzqK6w1yYP
Neon Trees,Animal (10th Anniversary Edition),Animal (10th Anniversary Edition) - Acoustic,spotify:track:0ZXSZYdrNLu2hciAxcp3ml
Taylor Swift,folklore,exile (feat. Bon Iver),spotify:track:4pvb0WLRcMtbPGmtejJJ6y
Tanmaya Bhatnagar,Kya Tum Naraaz Ho? (Raw),Kya Tum Naraaz Ho? (Raw),spotify:track:2rjCLFdX8n9xLoMZgdMMxt
Hasan Raheem,Sun Le Na,Sun Le Na,spotify:track:0tyK2eyMatZvNCVtbdNlmt
Zaeden,tere bina,tere bina,spotify:track:6N5WkgPIDoTdbCXyyIIKAv
Twenty One Pilots,Level of Concern,Level of Concern,spotify:track:6xZ4Q2k2ompmDppyeESIY8
H.E.R.,Slide,Slide,spotify:track:2rTnVB1bvwxHtaIl4uVu7f
renforshort,feel good inc. (feat. Mateus Asato),feel good inc. (feat. Mateus Asato),spotify:track:2GzlTbrFF2V6MwRDfBnYhf
Jack Harlow,Sweet Action,I WANNA SEE SOME ASS (feat. jetsonmade),spotify:track:2aWVaW1p2kUc5yuKwBmRJi
Lil Nas X,HOLIDAY,HOLIDAY,spotify:track:6zFMeegAMYQo0mt8rXtrli
Ritviz,Ved,Udd Gaye,spotify:track:5ZsAhuQ24mWHiduaxJqnhW
Coldplay,Music Of The Spheres,Biutyful,spotify:track:2L2mM3rEO3arNIMQnb3dou
The Neighbourhood,#000000 & #FFFFFF,Lurk,spotify:track:6NK6BSGwtmJ1HTOCYRWslQ
Beach Bunny,Honeymoon,Cloud 9,spotify:track:6vFsBXYczYsP0H3lgunZOm
Glass Animals,Dreamland,Heat Waves - Stripped Back,spotify:track:2Jhq4h8hWPNj24VWKbnd5B
78rpm,Friday Night Sessions,Blood Runs Red,spotify:track:4gpfV27daqpPRzsLUGzDRk
Verzache,Needs,Needs,spotify:track:0WKmVAD4VWk5EdTyCFILi4
Prateek Kuhad,Tum Jab Paas - Single,Tum Jab Paas,spotify:track:3FTRSa9mWB3kKx2jkhUAN3
Ritviz,Baaraat,Baaraat,spotify:track:0YLSjVxSb5FT1Bo8Tnxr8j
Chase Atlantic,Paradise EP,Slow Down,spotify:track:5lT5IZWW3JQErXELJpQgJ9
Prateek Kuhad,Tune Kaha,Tune Kaha,spotify:track:1gWtHDe403RuyZqhvSRcv8
Hozier,"Wasteland, Baby!",No Plan,spotify:track:4byXh93siQtzKLdjKuJaAF
The Weeknd,After Hours,Snowchild,spotify:track:3WlbeuhfRSqU7ylK2Ui5U7
Hasan Raheem,Peechay Hutt,Peechay Hutt,spotify:track:6ePcfMCQ7uUKwAamUiVtXL
Ritviz,Thandi Hawa,Thandi Hawa,spotify:track:7EPMILezRmD7gHhgx11e7k
Vilen,Chidiya,Chidiya,spotify:track:7mNZUnDWUDidWBFaUpVtOC
Aminé,Charmander,Charmander,spotify:track:4NP3gHruXgIo4YSJSNDRBz
Glass Animals,Dreamland,Waterfalls Coming Out Your Mouth,spotify:track:02qZpv0gLgqnm8KYUVEaFf
Ali Zafar,Balaghal-Ula Bi-Kamaalihi,Balaghal-Ula Bi-Kamaalihi,spotify:track:05rGKExmwZcwIvia1YVr8C
Ralph Castelli,Morning Sex,Morning Sex,spotify:track:2fGRJzoiYJYAzlQAyBONMb
Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",spotify:track:2Fv2injs4qAm8mJBGaxVKU
Nusrat Fateh Ali Khan,Man Atkeya Beparwah De Naal,Man Atkeya Beparwah De Naal - Complete Original Version,spotify:track:2D4ymDngFAUwAuhlr5fA3Y
Prateek Kuhad,Mismatched: Season 1 (Music from the Netflix Original Series),Kahaan Ho Tum,spotify:track:4sO9tnvCH3DJZ3AAXoixjd
Rêve,CTRL + ALT + DEL,CTRL + ALT + DEL,spotify:track:7ElC7VjUNl3oJ20Q5OpEh9
JAWNY,Honeypie,Honeypie,spotify:track:6JqYhSdTE4WbQrMXxPH5cD
X Ambassadors,Don’t Stay,Don't Stay,spotify:track:1JFWbktZpqwU37UX5MzjwR
Rex Orange County,AMAZING,AMAZING,spotify:track:6FtIK0IkmG33lKbc1pyAlZ
General Public,All The Rage,Tenderness,spotify:track:7cRWPAHuHQ36agbu6Empc8
Harry Styles,As It Was,As It Was,spotify:track:4LRPiXqCikLlN15c3yImP7
Florence + The Machine,Jenny of Oldstones (Game of Thrones),Jenny of Oldstones (Game of Thrones),spotify:track:1u0THw5xaGd7sYzJEh48Lt
Glass Animals,Quarantine Covers,Young And Beautiful,spotify:track:7Lx7cE37O7qL4JYBsBqQVs
Nusrat Fateh Ali Khan,Javeda Sufiaana,Main Jagi Piya Ke Sangh - Song in Raga Bilawal,spotify:track:1L2CUBfFR7HdjD62fne0XZ
Trinidad Cardona,Dinero,Dinero,spotify:track:3ggtU1ZOKO8ZNiqPNyXGcm
Ashe,Ashlyn,Till Forever Falls Apart,spotify:track:4x5YzxjrF9wvIIXJV7TveC
Wardruna,Lyfjaberg,Lyfjaberg,spotify:track:5iRCFYfU71YToV9UssimKe
Hasan Raheem,Aisay Kaisay,Aisay Kaisay,spotify:track:0mAswKg3RCbmXAV4KYTUxM
Childish Gambino,3.15.20,Algorhythm,spotify:track:07FOCFJhMmCVQDyWX1d3gR
The Weeknd,Dawn FM,Is There Someone Else?,spotify:track:5rXdRfS0EPQ5zleZ34Rs8k
Udbhav,Nanku Sharma,Kaafizyada,spotify:track:7vvmU5ayTrVWiNVxiwHLQI
The Weeknd,"My Dear Melancholy,",Wasted Times,spotify:track:7DKS0rX27cCEPsK0R6tFWS
Konoba,Smoke & Mirrors,On Our Knees (feat. R.O),spotify:track:2HCgcgN4PA0xr2ZqtsBpPb
Ankur Tewari,Side B,Dil Haare,spotify:track:26u6HGjzExhRZD5ifgTBnG
Glass Animals,Dreamland,Waterfalls Coming Out Your Mouth,spotify:track:7s0FCUlKnSFjFPzcIJmkwo
Fareed Ayaz Abu Muhammad Qawwal,"Mehfil E Samaa, Vol. 2",Mohey Apaney Hi Rung Main,spotify:track:0sJLmvdv7j0PqBQb66cBtE
Dominic Fike,"Don't Forget About Me, Demos",3 Nights,spotify:track:1tNJrcVe6gwLEiZCtprs1u
Hozier,Hozier,Work Song,spotify:track:4Vc3bzFxXdrABa2DxgyCMT
Dream Note,Waqt Ki Baatein - Single,Waqt Ki Baatein,spotify:track:1lIYP8fDGGnp91OMTUnwjV
Saweetie,Shang-Chi and The Legend of The Ten Rings: The Album,Swan Song,spotify:track:790TzR1UxBXVMFSGq8p7bv
Gang of Youths,Go Farther In Lightness,Achilles Come Down,spotify:track:22TntnVO3lQNDR5nsvxGRs
The Rolling Stones,The Rolling Stones In Mono,"Paint It, Black - Mono",spotify:track:1RJeiAIwR9pZBgJA8ndZLL
Syed Altaf Shah Kazmi,"Rab De Yaar da Yaar Siddiq, Vol. 2",Aa Meda Dhola,spotify:track:4l08LQca6YOwIgl8qexkfI
Michael Bublé,It's Time,Feeling Good,spotify:track:3I09LQbHS3NSU46Ly3tPpR
Arizona Zervas,NIGHTRIDER,NIGHTRIDER,spotify:track:72PFP54TZ9Tpj9dYQcb46D
Farida Khanum,"Wedding Songs, Vol. 1",Lathe Di Chadar,spotify:track:6vDesBVp6cNax0JtTWKJGv
Regard,Ride It,Ride It,spotify:track:2tnVG71enUj33Ic2nFN6kZ
Farid Ayaz & Abu Muhammad Qawal,"Spirit of the Sufis, Vol. 2",Chaap Tilak,spotify:track:0Zo0arTZCTmDxsM4EGoYdM
Piano Dreamers,Piano Dreamers Play Arctic Monkeys,Why'd You Only Call Me When You're High?,spotify:track:3k5FR1XqNSmwmJf6GpnQet
Amber Mark,3:33am,Lose My Cool,spotify:track:3G9zeErd0kMx012kmYUrm7
Ty Dolla $ign,Spicy (feat. Post Malone),Spicy (feat. Post Malone),spotify:track:5nWVyZaCwtfAkBnwDuXjBh
Hasan Raheem,Nautanki,Dibs,spotify:track:73Muq9vAvQ7CSD0V3kiQpY
Hozier,Hozier,From Eden,spotify:track:2XRCxFtPqSsnY94jZCFuYu
Delacey,Black Coffee,My Man,spotify:track:0kZLd1DECibaEjAzTyAZDZ
half•alive,"Now, Not Yet",still feel.,spotify:track:48XkVAagIoQHCsOlJtXUd5
Dimitri Vegas & Like Mike,Say My Name,Say My Name,spotify:track:3GYlQmwfBDo7imFyGPhrl7
Nusrat Fateh Ali Khan,Un Ka Andaz-E-Karam,Un Ka Andaz-E-Karam - Complete Original Version,spotify:track:2nw2P0obATD8LaLR53X6l1
Hasan Raheem,SHE,Adjust,spotify:track:1ZKZ7ZZJs1TiD7plBqPGrs
Cage The Elephant,Melophobia,Come a Little Closer,spotify:track:4sebUbjqbcgDSwG6PbSGI0
Nusrat Fateh Ali Khan,Aastan Hai Yeh Kis Shah-E-Zeshan Ka Marhaba Marhaba,Aastan Hai Yeh Kis Shah-E-Zeshan Ka Marhaba Marhaba - Complete Original Version,spotify:track:2Yk8E8IbNlsjNyCNOAmn0P
Harry Styles,Harry's House,Daylight,spotify:track:51Zw1cKDgkad0CXv23HCMU
Russ,There's Really A Wolf,Do It Myself,spotify:track:5mB1bWU8VueYVxuvcLPn2B
Various Artists,Famous Naaten Vol. 1 - Islamic Naats,Qaseeda Burda Shareef - Arabic-Urdu-Farsi-English,spotify:track:3p9H2j5AfKvxHkksXaaL9A
SYML,Mr. Sandman,Mr. Sandman,spotify:track:1ibQiWl2i50MGt3SpRuE0D
Berhana,Berhana,Janet,spotify:track:3ml3WB66sqG4kXoPBX2POA
Prateek Kuhad,Prateek Kuhad on Audiotree Live,cold / mess - Audiotree Live Version,spotify:track:3iewNLhxQyJXdYVYFKj86Y
Bear McCreary,The Witcher: Blood Origin (Soundtrack from the Netflix Series),The Echo and the River,spotify:track:44s77gJbPi0QizWRLJDhz8
Hozier,Hozier (Expanded Edition),To Be Alone,spotify:track:1XJQ7xI6jzcZybuHemxsPP
SAINt JHN,The Best Part of Life,The Best Part of Life (Imanbek Remix),spotify:track:6OboXrS1zbfCmh7uDFCIQ5
Emei,Scatterbrain,Scatterbrain,spotify:track:5DKcc3WxMwE7JB1IxCrdrs
Stromae,Racine Carrée,Tous les mêmes,spotify:track:1GC1MIaRMW3kfVK9VyD5Ii
SZA,SOS,Ghost in the Machine (feat. Phoebe Bridgers),spotify:track:4h5x3XHLVYFJaItKuO2rhy
Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,telepatía,spotify:track:6tDDoYIxWvMLTdKpjFkc1B
Ritviz,Ved,Sage,spotify:track:43mHckutQvJr49nT0UvRxy
Bishop Briggs,The Way I Do,The Way I Do,spotify:track:60DjyiAXyLzZpDjdOWFQEc
Blue Ivy,The Lion King: The Gift,BROWN SKIN GIRL,spotify:track:0B3FovCVaGKS5w1FTidEUP
Just Kiddin,Indiana,Indiana,spotify:track:79zjU6YFpnCTf2WeHuPaBC
Nathan Evans,Wellerman,Wellerman - Sea Shanty,spotify:track:54OBgO0Xwu20Jak9TMXbR7
Joyner Lucas,Your Heart,Your Heart,spotify:track:2DTpP3caqX3QdJIEoS83mD
Bayaan,4 Saal,Farda,spotify:track:6z9YgNd6u3k7eSLAR7Nsom
J. Cole,Born Sinner,She Knows (feat. Amber Coffman & Cults),spotify:track:0Fs9cdPDhptWEDJmiCbkEW
Piano Dreamers,British Invasion Piano,Do I Wanna Know?,spotify:track:5Jz9iPoejNGUCbkqfX9xvE
Hozier,"Wasteland, Baby!",Almost (Sweet Music),spotify:track:5Apvsk0suoivI1H8CmBglv
Wardruna,Skald,Helvegen - skaldic version,spotify:track:1S59i3NadL2tJlq8zOdb4I
Taba Chake,Bombay Dreams,No Doma Lo,spotify:track:4fTn0u6zKUIjTCF0OoQ12R
Elton John,The Lockdown Sessions,Cold Heart - PNAU Remix,spotify:track:7rglLriMNBPAyuJOMGwi39
Florence + The Machine,MTV Presents Unplugged: Florence + The Machine,"Never Let Me Go - MTV Unplugged, 2012",spotify:track:3JIKoXtJ0S032fWivBCa3z
PUBLIC,Honey In The Summer,Honey In The Summer,spotify:track:69KERH8EU5P2VwxWlmOVcU
Marc Streitenfeld,Robin Hood (Original Motion Picture Soundtrack),Planting the Fields,spotify:track:2d4jI40t4l6Dz63H1e58Vg
Baio,The Names,Sister of Pearl,spotify:track:2tfhqmq39kpDf1k7IJWxld
Fareed Ayaz Abu Muhammad Qawwal,Munshi Ji Ki Yaad Main,Mere Baney Ki Baat,spotify:track:4axWNzL7v8Y64gXLJ4DdOY
EDEN,i think you think too much of me,XO,spotify:track:0ZAiqymvbQUZAh9y6ZT3Rm
Prateek Kuhad,Pause,Pause,spotify:track:5h1L6nOR9QYXeeNW14aeus
Abdullah Siddiqui,Come Thru,Come Thru,spotify:track:2pwxbPemtKC6kddQVI5dJZ
Hozier,Hozier (Expanded Edition),Sedated,spotify:track:3Ub5gDJTOGWr2AlDcScUIr
Jasleen Royal,Baar Baar Dekho,Kho Gaye Hum Kahan,spotify:track:6nZiYSBwPQ7fYnVWkkkj4g
Sikandar Ka Mandar,Chand Si Banu,Chand Si Banu,spotify:track:5uQkx9RADqv8vdjqi9MOei
James Bay,Chaos And The Calm,Let It Go,spotify:track:13HVjjWUZFaWilh2QUJKsP
ROLE MODEL,forever&more,forever&more,spotify:track:0UMFm4ndFr3PH5VsVYnCNG
Abi Sampa,Man Kunto Maula,Man Kunto Maula,spotify:track:4c3eiTedVQbK3o9wp27Rk6
WizTheMc,For a Minute,For a Minute,spotify:track:4W1hy390P7IYBFbdvwzZBw
A R I Z O N A,Spotify Singles,Passionfruit - Recorded at Spotify Studios NYC,spotify:track:32s8Fw4H89EkJ5DPKEWnWY
Dua Lipa,Future Nostalgia,Love Again,spotify:track:4rPkN1FMzQyFNP9cLUGIIB
The Tamaashbeens,Singles,Koi toh miley ga,spotify:track:7LIfhKC5WX3mxJO9vEDi4V
WALK THE MOON,What If Nothing,One Foot,spotify:track:0iQ77tSa7ncj7zBPtVx6cU
Sickflip,Mismatched: Season 2 (Music from the Netflix Series),Mehmaan,spotify:track:3s5Rz3KFms39ZrFDw2jt4r
Drake,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),spotify:track:2SAqBLGA283SUiwJ3xOUVI
Nothing But Thieves,Broken Machine (Deluxe),Sorry - Acoustic,spotify:track:0Akytll1e5KvwNKvhqIZFn
Abida Parveen,The Best Of Abida Parveen,Tere Ishq Nachya,spotify:track:1mQfG7DNOygBOmq2CDBJrT
Post Malone,Twelve Carat Toothache,I Like You (A Happier Song) (with Doja Cat),spotify:track:0O6u0VJ46W86TxN9wgyqDj
Future,High Off Life,Solitaires (feat. Travis Scott),spotify:track:4kfeRwpq5KUaqTkgi4TbDF
Bear McCreary,God of War Ragnarök (Original Soundtrack),Raeb's Lament,spotify:track:404eOIgbr1qdzcJ7BE1Xtz
Jonas Brothers,A Little Bit Longer,Burnin' Up,spotify:track:2VEsmoek0sol9MnJFyoG9e
Hozier,Hozier (Expanded Edition),In the Woods Somewhere,spotify:track:5Pkn31exSVgFbfDAH961QC
Nusrat Fateh Ali Khan,Nusrat - Songs for Your Playlist,Mohe Apne Hi Rang Mein,spotify:track:4XPtiSvN7JzwXqB19IEKT6
Ramil Ganjoo,Phir Kabhi,Phir Kabhi,spotify:track:0kVtdIQMLZscOLsB37bb1s
Local Natives,Violet Street,When Am I Gonna Lose You,spotify:track:5wCVLW9qMtIY9IkBeyYnh6
ZAYN,Nobody Is Listening,Tightrope,spotify:track:44ngiCPfS8FfdJOqN0eULl
Dua Lipa,Break My Heart,Break My Heart,spotify:track:1raaNykBg1bDnWENUiglUA
DVBBS,GOMF,GOMF,spotify:track:7CTzuqi7g4vW8BXcEacvdB
Glass Animals,Dreamland,I Don't Wanna Talk (I Just Wanna Dance),spotify:track:2xXPVOKw75Ouju8Qu4SdIA
Run The Jewels,ooh la la (feat. Greg Nice & DJ Premier),ooh la la (feat. Greg Nice & DJ Premier),spotify:track:4duqfee47U0bYpEGkIBp47
SZA,The Other Side (from Trolls World Tour),The Other Side (from Trolls World Tour),spotify:track:463PQggkmk5tTw8ug0ahOX
Javed Ali,Delhi-6,Arziyan,spotify:track:3V80Iv04B9XAqGHbXdtRT1
Kauai45,Just The Two of Us,Just The Two of Us,spotify:track:5cwCW4r6ybpSiHWMpMKHoJ
blackbear,dirty laundry,dirty laundry - slowed,spotify:track:0N2rGjQLuT0GqVueJxjQS6
sophie meiers,come ovr/skype calls,skype calls,spotify:track:4i4YoTjnTs1Z0VRAX9GSIU
Lord Huron,Strange Trails,The Night We Met,spotify:track:0QZ5yyl6B6utIWkxeBDxQN
Drake,Care Package,Trust Issues,spotify:track:4Wjhj0WjkyECccfHVIgaTq
Advait,Dil Ko Kaise Samjhau?,Dil Ko Kaise Samjhau?,spotify:track:6fI7f0S356KkqkToKl8Hgz
Nusrat Fateh Ali Khan,Kanday Utte Mehrma Ve,Kiven Mukhre Ton Nazran Hatawan,spotify:track:1pMK7GI3AqrHZISTBMqsIs
Junaid Jamshed,Us Rah Par,Na Tu Aaegi,spotify:track:4wfeVAnxp89GJLw6gsPflm
Paramore,Riot!,Misery Business,spotify:track:6SpLc7EXZIPpy0sVko0aoU
OAFF,Gehraiyaan,Doobey,spotify:track:7k6QR9YHyW258yVN6FHO1T
Logic,Confessions of a Dangerous Mind,Keanu Reeves,spotify:track:3PYx9Wte3jwb48V0wArMOy
Sahara Beck,You Could Be Happy,Mary Jane,spotify:track:2wEMIeDWXxgxaQq12AupPi
Nusrat Fateh Ali Khan,Anthology - Nusrat Fateh Ali Khan,Main Jaagi Piya Ke Sangh,spotify:track:4RTDfd6fQuC9A9nRWsQBK4
Richard Armitage,The Hobbit: An Unexpected Journey (Original Motion Picture Soundtrack),Misty Mountains,spotify:track:3AAwJ043uT1wXSKDtGyuxF
Kyle Meehan,Te Amo,Te Amo,spotify:track:1MUhWo9TIkw9tPaC7N6sMg
Hozier,Hozier,Jackie And Wilson,spotify:track:5xo1Gj4WTssjQgQ0w03cf2
Glass Animals,Dreamland,Your Love (Deja Vu) - Stripped Back,spotify:track:1mix5b0jEgBjaXqK7Zt6Yd
Wallows,Are You Bored Yet? (feat. Clairo),Are You Bored Yet? (feat. Clairo) - Mura Masa Remix,spotify:track:4jgAfg7f9Wf6p4sIWYeOi3
2Scratch,NO LOVE,NO LOVE,spotify:track:554CXLtX0FfbYpU246qrr2
Surfaces,Where the Light Is,Sunday Best,spotify:track:1Cv1YLb4q0RzL6pybtaMLo
Rozeo,BIG LIKE LARGE,BIG LIKE LARGE,spotify:track:2TAmMjiDCLpG0cA8PLHGR0
Hozier,"Wasteland, Baby!",Movement,spotify:track:1djzKW3eYLyzjjHXazEWWh
Aminé,ONEPOINTFIVE,SHINE,spotify:track:1OWGLpptXlHLw1yibeHiHa
Shawn Mendes,It'll Be Okay,It'll Be Okay,spotify:track:2KnLkZ3z7PO3kgVGHGqDpD
Panic! At The Disco,Death of a Bachelor,Crazy = Genius,spotify:track:6V68ItawQkQlZhYIf1S86C
The Neighbourhood,To Imagine - EP,Scary Love,spotify:track:3D9YM8O9i1JQjE3uJHVeVA
Josh Golden,heaven come,heaven come,spotify:track:2lTpnVnrqmYfAlgUNRfDSR
Golden Ring Ensemble,Russian Folk Songs and Dances,Kalinka,spotify:track:6NjLhk2XZZlTgniXaySTji
Dayglow,Harmony House,Close To You,spotify:track:0brBOx8ejPXvBYnQkWquYK
Olivia Rodrigo,drivers license,drivers license,spotify:track:7lPN2DXiMsVn7XUKtOW1CS
NAV,Good Intentions,Good Intentions (Intro),spotify:track:3p6aRY0ePa28UM85z9X8iS
Amit Trivedi,Qala,Phero Na Najariya,spotify:track:6bngLYnL3AbtpXd7uPAMMd
Imagine Dragons,Live At AllSaints Studios,Believer - Live/Acoustic,spotify:track:3Eog0V6GCpABelD89PbUeB
Styx,Pieces Of Eight,Renegade,spotify:track:1CQqupcyMg7176PPmIVmSj
Kayan,On My Own,On My Own,spotify:track:12jHntVUvHSFiXiLW1eaVy
Future,EVOL,Low Life (feat. The Weeknd),spotify:track:7EiZI6JVHllARrX9PUvAdX
Praagya,Zara Zara,Zara Zara,spotify:track:6J1uhgLP3IW0FEsxBzDSw0
Glass Animals,Dreamland,Tangerine,spotify:track:40rOlDoGejXXF4B0BYsjx8
BROCKHAMPTON,GINGER,SUGAR,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA
Joel Sunny,Sweater Weather,Sweater Weather,spotify:track:3oYW30oQJXrjDsvxtdPuoT
Glass Animals,Tokyo Drifting,Tokyo Drifting - Oliver Malcolm Remix,spotify:track:2eOW4hT8wfZmyi11DGItc8
Yuno,No Going Back,No Going Back,spotify:track:7rig9YRhho4jJ2LBMGekfj
Matt Maeson,The Hearse,Put It on Me,spotify:track:7tySfDFfBiCjraLdoy6In5
The 1975,If You’re Too Shy (Let Me Know),If You’re Too Shy (Let Me Know),spotify:track:1n4vgMWmmNlXrvyxQFhUEl
